Datetime;Open;High;Low;Close;Adj Close;Volume;Variacao
2020-09-23T14:30:00Z; 96851,40; 96851,40; 96778,66; 96778,66; 96778,66;0;-6,682956e-04
2020-09-23T14:31:00Z; 96821,41; 96889,81; 96821,41; 96889,81; 96889,81;0; 1,148497e-03
2020-09-23T14:32:00Z; 96818,93; 96818,93; 96810,68; 96810,68; 96810,68;0;-8,167010e-04
2020-09-23T14:33:00Z; 96760,88; 96760,88; 96740,90; 96740,90; 96740,90;0;-7,207882e-04
2020-09-23T14:34:00Z; 96641,77; 96702,93; 96641,77; 96702,93; 96702,93;0;-3,924917e-04
2020-09-23T14:35:00Z; 96707,13; 96707,13; 96526,46; 96526,46; 96526,46;0;-1,824867e-03
2020-09-23T14:36:00Z; 96530,30; 96589,10; 96530,30; 96589,10; 96589,10;0; 6,489412e-04
2020-09-23T14:37:00Z; 96631,46; 96631,46; 96589,36; 96589,36; 96589,36;0; 2,691815e-06
2020-09-23T14:38:00Z; 96641,77; 96677,80; 96641,77; 96677,80; 96677,80;0; 9,156288e-04
2020-09-23T14:39:00Z; 96706,02; 96728,87; 96706,02; 96728,87; 96728,87;0; 5,282495e-04
2020-09-23T14:40:00Z; 96726,43; 96750,48; 96726,43; 96750,48; 96750,48;0; 2,234080e-04
2020-09-23T14:41:00Z; 96641,80; 96753,03; 96641,80; 96753,03; 96753,03;0; 2,635646e-05
2020-09-23T14:42:00Z; 96684,69; 96692,04; 96684,69; 96692,04; 96692,04;0;-6,303679e-04
2020-09-23T14:43:00Z; 96687,05; 96692,79; 96687,05; 96692,79; 96692,79;0; 7,756585e-06
2020-09-23T14:44:00Z; 96695,10; 96704,27; 96695,10; 96704,27; 96704,27;0; 1,187265e-04
2020-09-23T14:45:00Z; 96711,20; 96711,20; 96699,94; 96699,94; 96699,94;0;-4,477569e-05
2020-09-23T14:46:00Z; 96683,53; 96683,53; 96644,22; 96644,22; 96644,22;0;-5,762155e-04
2020-09-23T14:47:00Z; 96693,88; 96728,27; 96693,88; 96728,27; 96728,27;0; 8,696847e-04
2020-09-23T14:48:00Z; 96694,67; 96694,76; 96694,67; 96694,76; 96694,76;0;-3,464344e-04
2020-09-23T14:49:00Z; 96741,70; 96765,75; 96741,70; 96765,75; 96765,75;0; 7,341659e-04
2020-09-23T14:50:00Z; 96769,59; 96769,59; 96736,81; 96736,81; 96736,81;0;-2,990728e-04
2020-09-23T14:51:00Z; 96592,45; 96610,86; 96592,45; 96610,86; 96610,86;0;-1,301986e-03
2020-09-23T14:52:00Z; 96499,91; 96510,63; 96499,91; 96510,63; 96510,63;0;-1,037461e-03
2020-09-23T14:53:00Z; 96572,88; 96572,88; 96505,84; 96505,84; 96505,84;0;-4,963184e-05
2020-09-23T14:54:00Z; 96518,64; 96518,64; 96511,67; 96511,67; 96511,67;0; 6,041085e-05
2020-09-23T14:55:00Z; 96542,59; 96581,05; 96542,59; 96581,05; 96581,05;0; 7,188768e-04
2020-09-23T14:56:00Z; 96635,97; 96713,33; 96635,97; 96713,33; 96713,33;0; 1,369627e-03
2020-09-23T14:57:00Z; 96726,19; 96726,19; 96702,68; 96702,68; 96702,68;0;-1,101193e-04
2020-09-23T14:58:00Z; 96666,03; 96666,03; 96619,68; 96619,68; 96619,68;0;-8,583009e-04
2020-09-23T14:59:00Z; 96615,14; 96637,94; 96615,14; 96637,94; 96637,94;0; 1,889884e-04
2020-09-23T15:00:00Z; 96599,91; 96608,74; 96599,91; 96608,74; 96608,74;0;-3,021588e-04
2020-09-23T15:01:00Z; 96622,30; 96622,30; 96598,21; 96598,21; 96598,21;0;-1,089963e-04
2020-09-23T15:02:00Z; 96593,14; 96670,34; 96593,14; 96670,34; 96670,34;0; 7,467012e-04
